Depth,Call Numerical,Call BS,Call error,Put Numerical,Put BS,Put error
2170,0.813967,0.814219,0.000252,3.710892,3.711144,0.000252
2180,0.813969,0.814219,0.000251,3.710894,3.711144,0.000251
2190,0.813970,0.814219,0.000250,3.710895,3.711144,0.000250
2200,0.813971,0.814219,0.000249,3.710896,3.711144,0.000249
2210,0.813972,0.814219,0.000247,3.710897,3.711144,0.000247
2220,0.813973,0.814219,0.000246,3.710898,3.711144,0.000246
2230,0.813974,0.814219,0.000245,3.710899,3.711144,0.000245
2240,0.813975,0.814219,0.000244,3.710900,3.711144,0.000244
2250,0.813976,0.814219,0.000243,3.710901,3.711144,0.000243
2260,0.813978,0.814219,0.000242,3.710902,3.711144,0.000242
2270,0.813979,0.814219,0.000241,3.710903,3.711144,0.000241
2280,0.813980,0.814219,0.000240,3.710905,3.711144,0.000240
2290,0.813981,0.814219,0.000239,3.710906,3.711144,0.000239
2300,0.813982,0.814219,0.000238,3.710907,3.711144,0.000238
2310,0.813983,0.814219,0.000237,3.710908,3.711144,0.000237
2320,0.813984,0.814219,0.000236,3.710909,3.711144,0.000236
2330,0.813985,0.814219,0.000235,3.710910,3.711144,0.000235
2340,0.813986,0.814219,0.000234,3.710911,3.711144,0.000234
2350,0.813987,0.814219,0.000233,3.710912,3.711144,0.000233
2360,0.813988,0.814219,0.000232,3.710913,3.711144,0.000232
2370,0.813989,0.814219,0.000231,3.710914,3.711144,0.000231
2380,0.813990,0.814219,0.000230,3.710915,3.711144,0.000230
2390,0.813991,0.814219,0.000229,3.710916,3.711144,0.000229
2400,0.813992,0.814219,0.000228,3.710916,3.711144,0.000228
2410,0.813993,0.814219,0.000227,3.710917,3.711144,0.000227
2420,0.813994,0.814219,0.000226,3.710918,3.711144,0.000226
2430,0.813994,0.814219,0.000225,3.710919,3.711144,0.000225
2440,0.813995,0.814219,0.000224,3.710920,3.711144,0.000224
2450,0.813996,0.814219,0.000223,3.710921,3.711144,0.000223
2460,0.813997,0.814219,0.000222,3.710922,3.711144,0.000222
2470,0.813998,0.814219,0.000221,3.710923,3.711144,0.000221
